IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID,SORTORDER
559,,,null,Not Hispanic or Latino,Ethnicity_PID,null
560,,,null,Hispanic or Latino,Ethnicity_PID,null
561,,,null,Not Reported,Ethnicity_PID,null
562,,,null,Unknown,Ethnicity_PID,null
