IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID,SORTORDER
71,,,null,Not Applicable,2003992,null
72,,,null,Right,2003992,null
73,,,null,Left,2003992,null
74,,,null,Not Specified,2003992,null
