IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID,SORTORDER
64557,,,null,Pending,2004300,null
64558,,,null,Pending-Partially Complete,2004300,null
64559,,,null,Overdue,2004300,null
64560,,,null,Overdue-Partially Complete,2004300,null
64561,,,null,Complete,2004300,null
64562,,,null,Complete-Late,2004300,null
64563,,,null,Incomplete,2004300,null
64564,,,null,Not Collected,2004300,null
