"1","177","284","717"
"4","373","328","89"
"6","89","312","97"
"7","97","653","125"
"15","717","410","379"
"18","379","507","89"
"26","717","68","722"
"29","722","302","89"
"31","762","127_36_237","297"
"33","762","127","981"
"36","981","36","740"
"38","740","237","297"
"39","297","138","458"
"41","166","71","97"
"42","97","73","128"
"46","762","243","857"
"49","857","326","740"
"51","740","557","261"
"52","261","316","415"
"54","192","381","97"
"60","740","499","4"
"61","4","553","535"
"67","740","549","333"
"68","333","383","573"
"71","177","173","97"
"72","177","510","97"
"78","762","118","868"
"83","868","488","740"
"89","297","366","470"
"90","470","25","70"
"91","470","19","70"
"97","333","267","518"
"101","762","357","729"
"103","729","333_226","224"
"104","729","333","740"
"106","740","226","224"
"107","224","390","595"
"111","762","621","781"
"114","781","136","740"
"116","333","525","562"
"120","224","463","573"
"125","70","83","177"
"129","297","41","535"
"135","4","602","607"
"141","333","601","535"
"145","762","494","886"
"148","886","303","740"
"150","4","295","618"
"156","4","546","562"
"162","297","14","486"
"166","297","253","573"
"170","762","179","794"
"173","794","117","740"
"175","4","1","458"
"179","333","490","437"
"183","762","632","812"
"186","812","285","740"
"188","261","358","628"
"194","333","618","508"
"198","4","571","584"
"204","297","637","607"
"208","224","641","437"
"214","261","87","573"
"224","261","559","497"
"228","297","355","497"
"232","729","333_549","333"
"236","297","151","437"
"240","297","265","595"
"246","4","109","415"
"250","333","43","607"
"260","261","642","425"
"268","297","31","508"
"276","762","305","770"
"279","770","102","740"
"281","333","387","618"
"285","333","382","595"
"295","4","462","497"
"299","333","547","458"
"305","224","352","425"
"311","297","84","415"
"317","333","63","497"
"321","261","235","550"
"327","224","18","486"
"331","333","425","486"
"335","297","389","518"
"341","224","356","497"
"345","261","443","562"
"359","297","272","618"
"363","333","112","584"
"367","261","287","437"
"375","261","198","508"
"379","224","40","584"
"391","224","38","415"
"395","4","378","425"
"399","261","225","486"
"411","261","530","470"
"415","4","268","573"
"419","224","631","458"
"435","297","348","425"
"441","224","286","470"
"447","729","333_557","261"
"455","333","146","425"
"459","729","333_237","297"
"463","224","402","618"
"467","297","369","562"
"471","297","448","448"
"475","224","314","448"
"479","224","156","562"
"483","297","540","628"
"491","261","516","518"
"501","729","333_499","4"
"503","4","135","486"
"535","4","30","628"
"541","261","216","458"
"549","224","29","535"
"567","224","64","508"
"575","4","171","518"
"581","261","466","584"
"603","4","278","595"
"609","297","657","584"
"621","224","259","628"
"633","224","363","518"
"645","4","361","448"
"649","333","424","415"
"717","4","37","437"
"745","297","340","550"
"767","224","79","607"
"781","261","99","595"
"789","333","160","448"
"793","4","213","550"
"831","261","144","618"
"835","333","280","550"
"857","333","81","628"
"867","4","150","508"
"871","261","176","535"
"877","261","633","448"
"899","224","474","550"
"935","261","458","607"
"1071","333","91","470"
"1323","4","354","470"
"3280","70","12","89"
"3283","981","589","53"
"3284","657","304_612","674"
"3285","657","304","653"
"3286","653","612","674"
"3289","497","394","261"
"3290","261","563","217"
"3291","261","4","217"
"3306","674","330","379"
"3310","379","597","595"
"3313","595","341","261"
"3316","618","320","4"
"3317","4","49","217"
"3318","4","324","217"
"3319","657","304_645","640"
"3320","653","645","640"
"3323","415","377","224"
"3324","224","23","217"
"3325","224","583","217"
"3329","379","187","550"
"3332","550","159","333"
"3333","333","66","217"
"3334","333","110","217"
"3337","437","486","297"
"3338","297","652","217"
"3339","297","406","217"
"3340","657","304_296","685"
"3341","653","296","685"
"3344","584","75","297"
"3347","562","291","333"
"3350","508","165","261"
"3353","607","423","297"
"3359","595","374","4"
"3375","379","585","618"
"3378","618","650","224"
"3381","607","128","4"
"3384","497","327","4"
"3387","437","103","4"
"3390","550","475","297"
"3393","415","80","4"
"3408","685","517","379"
"3412","379","576","508"
"3415","508","479","4"
"3418","437","422","224"
"3433","508","153","333"
"3436","584","400","333"
"3439","448","220","333"
"3442","497","409","333"
"3457","470","651","333"
"3460","497","59","297"
"3476","379","395","425"
"3479","425","161","224"
"3483","379","288","415"
"3486","562","639","297"
"3489","486","554","224"
"3492","458","347","333"
"3498","425","194","261"
"3502","379","521","535"
"3505","535","375","261"
"3520","508","455","297"
"3535","595","435","333"
"3554","379","656","497"
"3558","379","565","628"
"3561","628","519","261"
"3564","573","163","333"
"3567","437","129","333"
"3570","628","526","333"
"3573","550","427","224"
"3576","618","570","297"
"3582","595","52","224"
"3600","535","386","4"
"3616","379","297","518"
"3619","518","643","261"
"3623","379","215","584"
"3626","584","572","224"
"3642","379","67","437"
"3645","425","480","4"
"3648","573","513","297"
"3651","628","460","4"
"3669","415","392","297"
"3672","562","197","261"
"3675","518","605","333"
"3696","497","27","224"
"3700","379","192","458"
"3703","458","22","297"
"3721","584","456","4"
"3724","535","105","297"
