"1497","1","0",\N,"3",\N,\N
"1501","1","0",\N,"3",\N,\N
"1505","1","0",\N,"3",\N,\N
"1508","1","0",\N,"3",\N,\N
"1513","1","0",\N,"3",\N,\N
"1516","1","1","1461","3",\N,\N
"1518","1","0","1516","3",\N,\N
"1524","1","0",\N,"3",\N,\N
"1527","1","0",\N,"3",\N,\N
"1533","1","0",\N,"3",\N,\N
"1536","1","1","1461","3",\N,\N
"1539","1","0","1536","3",\N,\N
"1541","1","0",\N,"3",\N,\N
"1545","1","1","1461","3",\N,\N
"1551","1","0",\N,"3",\N,\N
"1556","1","0",\N,"3",\N,\N
"1559","1","0","1516","3",\N,\N
"1562","1","0",\N,"3",\N,\N
"1566","1","0",\N,"3",\N,\N
"1570","1","0",\N,"3",\N,\N
"1574","1","0",\N,"3",\N,\N
"1577","1","0","1440","3",\N,\N
"1584","1","0",\N,"3",\N,\N
"1589","1","0",\N,"3",\N,\N
"1593","1","1","1461","3",\N,\N
"1600","1","0",\N,"3",\N,\N
"1605","1","0",\N,"3",\N,\N
"1608","1","0",\N,"3",\N,\N
"1612","1","0",\N,"3",\N,\N
"1615","1","0",\N,"3",\N,\N
"1620","1","0",\N,"3",\N,\N
"1625","1","0","1545","3",\N,\N
"1631","1","0","1593","3",\N,\N
"1640","1","0",\N,"3",\N,\N
"1644","1","0",\N,"3",\N,\N
"1648","1","0",\N,"3",\N,\N
"1652","1","0","1545","3",\N,\N
"1659","1","0",\N,"3",\N,\N
"1663","1","0",\N,"3",\N,\N
"1667","1","0",\N,"3",\N,\N
"1673","1","0",\N,"3",\N,\N
"1676","1","0","1545","3",\N,\N
"1680","1","0",\N,"3",\N,\N
"1685","1","0",\N,"3",\N,\N
"1690","1","0",\N,"3",\N,\N
"1693","1","0",\N,"3",\N,\N
"1697","1","0",\N,"3",\N,\N
"1701","1","0",\N,"3",\N,\N
"1705","1","0","1461","3",\N,\N
"1709","1","0",\N,"3",\N,\N
"1715","1","0","1593","3",\N,\N
"1723","1","0",\N,"3",\N,\N
"1727","1","0",\N,"3",\N,\N
"1731","1","0",\N,"3",\N,\N
"1735","1","0","1461","3",\N,\N
"1749","1","0",\N,"3",\N,\N
"1754","1","0","1461","3",\N,\N
"1762","1","0",\N,"3",\N,\N
"1765","1","0",\N,"3",\N,\N
"1770","1","0",\N,"3",\N,\N
"1773","1","0","1461","3",\N,\N
"1777","1","0",\N,"3",\N,\N
"1781","1","0",\N,"3",\N,\N
"1784","1","0",\N,"3",\N,\N
"1788","1","0","1593","3",\N,\N
"1794","1","0","1545","3",\N,\N
"1797","1","0","1536","3",\N,\N
"1828","1","0",\N,"3",\N,\N
"1836","1","0","1473","3",\N,\N
"1838","1","0","1473","3",\N,\N
"1841","1","0","1473","3",\N,\N
"1845","1","0","1640","3",\N,\N
"1847","1","0","1640","3",\N,\N
