"1","ProjectVersion","1.1","1"
"128","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","227"
"129","derived","derived","227"
"130","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_consentTierStatusCollection_edu.wustl.catissuecore.domain.ConsentTierStatus","228"
"131","derived","derived","228"
"132","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","229"
"133","derived","derived","229"
"134","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","230"
"135","derived","derived","230"
"136","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","231"
"137","derived","derived","231"
"138","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","232"
"139","derived","derived","232"
"140","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","233"
"141","derived","derived","233"
"142","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_edu.wustl.catissuecore.domain.Specimen_specimenCharacteristics_edu.wustl.catissuecore.domain.SpecimenCharacteristics","234"
"143","derived","derived","234"
"144","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_storageContainer_edu.wustl.catissuecore.domain.StorageContainer","235"
"145","derived","derived","235"
"146","derived","derived","236"
"147","derived","derived","237"
"148","derived","derived","238"
"149","derived","derived","239"
"150","derived","derived","240"
"151","derived","derived","241"
"152","derived","derived","242"
"153","derived","derived","243"
"154","derived","derived","244"
"155","derived","derived","245"
"156","derived","derived","246"
"157","derived","derived","247"
"158","derived","derived","248"
"159","derived","derived","250"
