"273","Taiwan"
"274","Israel"
"275","East Timor"
"276","Moldova"
"277","Puerto Rico"
"278","Vanuatu"
"279","Austria"
"280","Togo"
"281","Bermuda"
"282","Dominican Republic"
"283","Bulgaria"
"284","Virgin Islands"
"285","Antarctica"
"286","Cyprus"
"287","Cameroon"
"288","Malaysia"
"289","Solomon Islands"
"290","Nicaragua"
"291","Sierra Leone"
"292","Lesotho"
"293","Andorra"
"294","Greece"
"295","Central African Republic"
"296","Jamaica"
"297","Sao Tome and Principe"
"298","Bahamas"
"299","Ghana"
"300","Bangladesh"
"301","French S. Territories"
"302","Bahrain"
"303","Uganda"
"304","Montserrat"
"305","Luxembourg"
"306","Botswana"
"307","New Zealand"
"308","Germany"
"309","Portugal"
"310","Saint Kitts and Nevis"
"311","Ecuador"
"312","Greenland"
"313","United Arab Emirates"
"314","Tonga"
"315","India"
"316","Albania"
"317","Anguilla"
"318","Liberia"
"319","Maldives"
"320","Sweden"
"321","Uruguay"
"322","Vatican City State"
"323","Antigua and Barbuda"
"324","Thailand"
"325","Estonia"
"326","Tokelau"
"327","Ukraine"
"328","Laos"
"329","Chad"
"330","Syrian Arab Republic"
"331","Burundi"
"332","Uzbekistan"
"333","Yemen"
"334","Argentina"
"335","Hungary"
"336","Yugoslavia"
"337","Eritrea"
"338","Mayotte"
"339","Not Specified"
"340","Left"
"341","Right"
"342","Not Applicable"
"343","Urachus"
"344","Trigone of bladder"
"345","Bladder neck"
"346","Overlapping lesion of bladder"
"347","Posterior wall of bladder"
"348","Ureteric orifice"
"349","Anterior wall of bladder"
"350","Dome of bladder"
"351","Bladder, NOS"
"352","Lateral wall of bladder"
"353","Urethra"
"354","Paraurethral gland"
"355","Overlapping lesion of urinary organs"
"356","Urinary system, NOS"
"357","Kidney, NOS"
"358","Renal pelvis"
"359","Ureter"
"360","Overlapping lesion of other and unspecified parts of mouth"
"361","Mouth, NOS"
"362","Cheek mucosa"
"363","Retromolar area"
"364","Vestibule of mouth"
"365","Anterior wall of nasopharynx"
"366","Overlapping lesion of nasopharynx"
"367","Lateral wall of nasopharynx"
"368","Ampulla of Vater"
"369","Gallbladder"
"370","Appendix"
"371","Overlapping lesion of colon"
"372","Transverse colon"
"373","Ascending colon"
"374","Splenic flexure of colon"
"375","Sigmoid colon"
"376","Cecum"
"377","Descending colon"
"378","Colon, NOS"
"379","Hepatic flexure of colon"
"380","Overlapping lesion of esophagus"
"381","Cervical esophagus"
"382","Thoracic esophagus"
"383","Upper third of esophagus"
"384","Abdominal esophagus"
"385","Lower third of esophagus"
"386","Middle third of esophagus"
"387","Esophagus, NOS"
"388","Rectum, NOS"
"389","Orbit, NOS"
"390","EYE AND ADNEXA"
"391","Lacrimal gland"
"392","Ciliary body"
"393","Cornea, NOS"
"394","Retina"
"395","Choroid"
"396","Overlapping lesion of eye and adnexa"
"397","Eye, NOS"
"398","Conjunctiva"
"399","Overlapping lesion of brain and central nervous system"
"400","Olfactory nerve"
"401","Optic nerve"
"402","Spinal cord"
"403","Cauda equina"
"404","Cranial nerve, NOS"
"405","Acoustic nerve"
"406","Nervous system, NOS"
"407","Temporal lobe"
"408","Overlapping lesion of brain"
"409","Frontal lobe"
"410","Ventricle, NOS"
"411","Cerebellum, NOS"
"412","Parietal lobe"
"413","Cerebrum"
"414","Occipital lobe"
"415","Brain stem"
"416","Brain, NOS"
"417","BLADDER"
"418","OTHER AND UNSPECIFIED URINARY ORGANS"
"419","KIDNEY"
"420","RENAL PELVIS"
"421","URETER"
"422","Intra-abdominal lymph nodes"
"423","Lymph nodes of multiple regions"
"424","Lymph node, NOS"
"425","Pelvic lymph nodes"
"426","Lymph nodes of inguinal region or leg"
"427","Intrathoracic lymph nodes"
"428","Lymph nodes of axilla or arm"
"429","Lymph nodes of head, face and neck"
"430","OTHER AND UNSPECIFIED PARTS OF MOUTH"
"431","NASOPHARYNX"
"432","FLOOR OF MOUTH"
"433","BASE OF TONGUE"
"434","PAROTID GLAND"
"435","LIP"
"436","OROPHARYNX"
"437","HYPOPHARYNX"
"438","OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS"
"439","PALATE"
"440","OTHER AND UNSPECIFIED PARTS OF TONGUE"
"441","GUM"
"442","PYRIFORM SINUS"
"443","TONSIL"
"444","OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX"
"445","Nipple"
"446","Upper-inner quadrant of breast"
"447","Lower-inner quadrant of breast"
"448","Overlapping lesion of breast"
"449","Breast, NOS"
"450","Lower-outer quadrant of breast"
"451","Axillary tail of breast"
"452","Central portion of breast"
"453","Upper-outer quadrant of breast"
"454","Connective, Subcutaneous and other Soft tissues of pelvis"
"455","Overlapping lesion of connective, subcutaneous and other soft tissues"
"456","Connective, Subcutaneous and other Soft tissues of head, face, and neck"
"457","Connective, Subcutaneous and other Soft tissues of abdomen"
"458","Connective, Subcutaneous and other Soft tissues of trunk, NOS"
"459","Connective, Subcutaneous and other Soft tissues of lower limb and hip"
"460","Connective, Subcutaneous and other Soft tissues, NOS"
"461","Connective, Subcutaneous and other Soft tissues of upper limb and shoulder"
"462","Connective, Subcutaneous and other Soft tissues of thorax"
"463","Meninges, NOS"
"464","Peripheral nerves and Autonomic nervous system of upper limb and shoulder"
"465","PENIS"
"466","PROSTATE GLAND"
"467","TESTIS"
"468","OTHER AND UNSPECIFIED MALE GENITAL ORGANS"
"469","Skin of scalp and neck"
"470","Skin of trunk"
"471","Skin of lip, NOS"
"472","Eyelid"
"473","External ear"
"474","Skin of lower limb and hip"
"475","Overlapping lesion of skin"
"476","Skin of upper limb and shoulder"
"477","Skin, NOS"
"478","Skin of other and unspecified parts of face"
"479","STOMACH"
"480","ANUS AND ANAL CANAL"
"481","SMALL INTESTINE"
"482","OTHER AND ILL-DEFINED DIGESTIVE ORGANS"
"483","PANCREAS"
"484","RECTOSIGMOID JUNCTION"
"485","LIVER AND INTRAHEPATIC BILE DUCTS"
"486","OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT"
"487","GALLBLADDER"
"488","MENINGES"
"489","THYROID AND OTHER ENDOCRINE GLANDS"
"490","BONES, JOINTS AND ARTICULAR CARTILAGE"
"491","RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS"
"492","RETROPERITONEUM AND PERITONEUM"
"493","HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS"
"494","OTHER AND ILL-DEFINED SITES"
"495","FEMALE GENITAL ORGANS"
"496","PERIPHERAL NERVES AND AUTONOMIC NERVOUS SYSTEM"
"497","UNKNOWN PRIMARY SITE"
"498","MALE GENITAL ORGANS"
"499","SKIN"
"500","DIGESTIVE ORGANS"
"501","CONNECTIVE, SUBCUTANEOUS AND OTHER SOFT TISSUES"
"502","BREAST"
"503","LIP, ORAL CAVITY AND PHARYNX"
"504","LYMPH NODES"
"505","URINARY TRACT"
"506","BRAIN"
"507","SPINAL CORD, CRANIAL NERVES, AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM"
