"2","2","0","","3","",""
"4","3","0","","3","",""
"40","2","0","","3","",""
"53","2","0","40","3","",""
"70","2","0","40","3","",""
"89","2","0","","3","",""
"97","2","0","","3","",""
"112","2","0","","3","",""
"116","2","0","","3","",""
"125","2","0","","3","",""
"128","2","0","","3","",""
"131","2","0","","3","",""
"134","2","0","","3","",""
"142","2","0","","3","",""
"146","2","0","134","3","",""
"157","2","0","134","3","",""
"166","2","0","","3","",""
"177","2","0","166","3","",""
"192","2","0","166","3","",""
"203","2","0","","3","",""
"206","2","0","","3","",""
"208","2","0","206","3","",""
"211","2","0","206","3","",""
"214","2","0","206","3","",""
"217","2","0","206","3","",""
"220","2","0","","3","",""
"224","2","0","4","2","SPECIMEN_CLASS","Molecular"
"261","2","0","4","2","SPECIMEN_CLASS","Cell"
"297","2","0","4","2","SPECIMEN_CLASS","Tissue"
"333","2","0","4","2","SPECIMEN_CLASS","Fluid"
"369","2","0","","3","",""
"373","2","0","","3","",""
"379","3","0","373","3","",""
"411","2","0","2","3","",""
"415","2","0","","3","",""
"425","2","0","415","3","",""
"437","2","0","415","3","",""
"448","2","0","415","3","",""
"458","2","0","415","3","",""
"470","2","0","415","3","",""
"486","2","0","415","3","",""
"497","2","0","415","3","",""
"508","2","0","415","3","",""
"518","2","0","508","3","",""
"535","2","0","508","3","",""
"550","2","0","508","3","",""
"562","2","0","508","3","",""
"573","2","0","415","3","",""
"584","2","0","415","3","",""
"595","2","0","415","3","",""
"607","2","0","415","3","",""
"618","2","0","415","3","",""
"628","2","0","415","3","",""
"640","2","0","","3","",""
"650","2","0","","3","",""
"653","2","0","650","3","",""
"657","2","0","","3","",""
"663","2","0","650","3","",""
"666","2","0","","3","",""
"671","2","0","650","3","",""
"674","2","0","640","3","",""
"685","2","0","640","3","",""
"698","2","0","","3","",""
"706","2","0","","3","",""
"709","2","0","","3","",""
"714","2","0","","3","",""
"717","2","0","","3","",""
"722","2","0","373","3","",""
"729","2","0","","3","",""
"740","2","0","","3","",""
"754","2","0","","3","",""
"762","2","0","","3","",""
"770","2","0","729","3","",""
"781","2","0","770","3","",""
"794","2","0","781","3","",""
"812","2","0","781","3","",""
"830","2","0","","3","",""
"840","2","0","","3","",""
"844","3","0","","3","",""
"857","2","0","729","3","",""
"868","2","0","857","3","",""
"886","2","0","770","3","",""
"902","2","0","","3","",""
"911","2","0","","3","",""
"915","2","0","2","3","",""
"921","2","0","2","3","",""
"926","2","0","","3","",""
"932","2","0","","3","",""
"944","2","0","","3","",""
